date,open,high,low,close,volume
2015-01-09 09:15:00,8285.45,8303.0,8273.95,8281.55,0
2015-01-09 10:15:00,8281.5,8291.45,8277.95,8282.35,0
2015-01-09 11:15:00,8282.55,8283.2,8191.1,8221.85,0
2015-01-09 12:15:00,8222.85,8272.6,8198.4,8245.85,0
2015-01-09 13:15:00,8246.7,8251.65,8204.75,8225.2,0
2015-01-09 14:15:00,8224.75,8296.35,8224.75,8285.7,0
2015-01-09 15:15:00,8286.3,8288.05,8278.05,8280.25,0
2015-01-12 09:15:00,8291.35,8292.7,8245.6,8284.1,0
2015-01-12 10:15:00,8283.5,8297.3,8277.05,8281.35,0
2015-01-12 11:15:00,8280.9,8293.9,8263.4,8268.6,0
2015-01-12 12:15:00,8268.95,8275.4,8252.5,8272.8,0
2015-01-12 13:15:00,8272.85,8293.35,8265.65,8283.3,0
2015-01-12 14:15:00,8283.3,8323.6,8282.15,8319.95,0
2015-01-12 15:15:00,8319.55,8332.25,8318.6,8326.55,0
2015-01-13 09:15:00,8346.15,8355.9,8322.0,8336.7,0
2015-01-13 10:15:00,8337.1,8344.75,8332.15,8336.4,0
2015-01-13 11:15:00,8336.6,8343.4,8323.3,8340.0,0
2015-01-13 12:15:00,8340.05,8342.95,8321.3,8340.65,0
2015-01-13 13:15:00,8341.3,8356.65,8339.25,8339.25,0
2015-01-13 14:15:00,8339.8,8343.0,8268.15,8304.8,0
2015-01-13 15:15:00,8304.9,8309.3,8296.2,8303.8,0
2015-01-14 09:15:00,8307.25,8326.3,8286.85,8304.0,0
2015-01-14 10:15:00,8304.25,8308.5,8287.3,8290.1,0
2015-01-14 11:15:00,8290.2,8293.35,8271.7,8274.9,0
2015-01-14 12:15:00,8274.75,8277.55,8236.75,8257.9,0
2015-01-14 13:15:00,8258.2,8291.95,8244.05,8280.45,0
2015-01-14 14:15:00,8281.6,8301.9,8252.2,8272.8,0
2015-01-14 15:15:00,8273.05,8290.25,8269.0,8287.75,0
2015-01-15 09:15:00,8425.2,8452.65,8380.75,8407.8,0
2015-01-15 10:15:00,8407.4,8437.35,8399.1,8433.3,0
2015-01-15 11:15:00,8433.3,8468.55,8430.45,8459.75,0
2015-01-15 12:15:00,8459.45,8482.95,8451.75,8472.65,0
2015-01-15 13:15:00,8472.6,8496.7,8468.15,8491.1,0
2015-01-15 14:15:00,8490.8,8526.9,8487.1,8510.75,0
2015-01-15 15:15:00,8510.45,8511.0,8459.35,8461.15,0
2015-01-19 09:15:00,8553.4,8565.8,8548.2,8560.3,0
2015-01-19 10:15:00,8560.4,8570.8,8554.75,8566.7,0
2015-01-19 11:15:00,8566.55,8568.15,8540.7,8551.0,0
2015-01-19 12:15:00,8551.35,8556.8,8531.7,8553.4,0
2015-01-19 13:15:00,8553.45,8568.25,8552.25,8564.55,0
2015-01-19 14:15:00,8564.15,8565.55,8543.45,8551.45,0
2015-01-19 15:15:00,8550.85,8552.9,8546.4,8550.3,0
2015-01-20 09:15:00,8575.1,8599.2,8574.65,8598.3,0
2015-01-20 10:15:00,8598.55,8605.0,8592.75,8599.25,0
2015-01-20 11:15:00,8599.3,8608.4,8592.0,8603.9,0
2015-01-20 12:15:00,8604.25,8629.3,8602.7,8624.45,0
2015-01-20 13:15:00,8623.85,8658.6,8614.0,8654.6,0
2015-01-20 14:15:00,8654.9,8707.75,8654.5,8689.85,0
2015-01-20 15:15:00,8689.9,8696.9,8687.1,8691.25,0
2015-01-21 09:15:00,8719.65,8741.5,8699.9,8715.75,0
2015-01-21 10:15:00,8716.25,8733.15,8689.7,8704.5,0
2015-01-21 11:15:00,8704.85,8728.45,8696.4,8720.25,0
2015-01-21 12:15:00,8719.9,8724.75,8703.05,8719.8,0
2015-01-21 13:15:00,8719.75,8734.6,8712.25,8715.3,0
2015-01-21 14:15:00,8715.1,8733.7,8703.2,8730.7,0
2015-01-21 15:15:00,8731.3,8734.8,8723.6,8728.05,0
2015-01-22 09:15:00,8745.85,8764.25,8735.0,8762.05,0
2015-01-22 10:15:00,8764.15,8772.45,8747.8,8754.7,0
2015-01-22 11:15:00,8754.85,8765.6,8750.05,8758.45,0
2015-01-22 12:15:00,8757.5,8760.95,8741.55,8746.65,0
2015-01-22 13:15:00,8746.55,8761.8,8728.75,8735.35,0
2015-01-22 14:15:00,8735.05,8761.2,8727.15,8760.3,0
2015-01-22 15:15:00,8759.95,8774.0,8759.95,8762.2,0
2015-01-23 09:15:00,8827.95,8866.15,8827.95,8843.7,0
2015-01-23 10:15:00,8843.25,8843.75,8795.6,8806.15,0
2015-01-23 11:15:00,8805.6,8820.95,8799.5,8807.7,0
2015-01-23 12:15:00,8807.5,8827.9,8807.15,8822.4,0
2015-01-23 13:15:00,8822.65,8837.0,8806.7,8830.35,0
2015-01-23 14:15:00,8830.1,8849.6,8819.25,8834.85,0
2015-01-23 15:15:00,8834.9,8837.05,8822.35,8823.55,0
2015-01-27 09:15:00,8871.35,8874.7,8826.1,8854.3,0
2015-01-27 10:15:00,8853.95,8861.15,8840.05,8847.15,0
2015-01-27 11:15:00,8847.7,8850.05,8825.55,8833.45,0
2015-01-27 12:15:00,8833.45,8853.0,8833.1,8850.2,0
2015-01-27 13:15:00,8849.6,8864.45,8842.55,8851.15,0
2015-01-27 14:15:00,8850.8,8924.95,8850.55,8915.5,0
2015-01-27 15:15:00,8915.35,8916.3,8902.0,8904.2,0
2015-01-28 09:15:00,8902.75,8917.95,8889.35,8909.15,0
2015-01-28 10:15:00,8910.15,8930.65,8898.4,8928.0,0
2015-01-28 11:15:00,8928.7,8961.8,8928.0,8955.3,0
2015-01-28 12:15:00,8955.25,8985.05,8907.55,8928.7,0
2015-01-28 13:15:00,8928.15,8936.7,8892.45,8907.75,0
2015-01-28 14:15:00,8907.8,8923.75,8874.2,8920.05,0
2015-01-28 15:15:00,8920.25,8921.0,8905.0,8906.8,0
2015-01-29 09:15:00,8901.5,8901.5,8861.65,8873.4,0
2015-01-29 10:15:00,8873.6,8892.65,8872.75,8872.75,0
2015-01-29 11:15:00,8872.7,8907.45,8863.4,8900.15,0
2015-01-29 12:15:00,8898.75,8900.0,8874.35,8876.65,0
2015-01-29 13:15:00,8875.95,8904.95,8872.0,8883.2,0
2015-01-29 14:15:00,8882.9,8966.2,8871.35,8953.45,0
2015-01-29 15:15:00,8954.05,8958.6,8945.05,8950.2,0
2015-01-30 09:15:00,8996.6,8996.6,8917.4,8925.6,0
2015-01-30 10:15:00,8925.8,8938.0,8861.95,8868.1,0
2015-01-30 11:15:00,8867.85,8882.3,8820.5,8834.85,0
2015-01-30 12:15:00,8834.65,8858.25,8829.1,8835.1,0
2015-01-30 13:15:00,8834.85,8854.25,8798.55,8799.1,0
2015-01-30 14:15:00,8799.7,8823.75,8775.6,8808.05,0
2015-01-30 15:15:00,8807.95,8824.35,8798.1,8821.45,0
2015-02-02 09:15:00,8802.5,8807.8,8772.45,8777.25,0
2015-02-02 10:15:00,8776.85,8805.25,8772.65,8786.75,0
2015-02-02 11:15:00,8786.3,8792.35,8751.45,8768.5,0
2015-02-02 12:15:00,8767.85,8769.75,8752.85,8758.45,0
2015-02-02 13:15:00,8758.8,8839.9,8755.35,8826.25,0
2015-02-02 14:15:00,8825.9,8826.8,8775.35,8797.05,0
2015-02-02 15:15:00,8797.1,8803.55,8789.6,8798.15,0
2015-02-03 09:15:00,8823.15,8836.45,8798.2,8801.2,0
2015-02-03 10:15:00,8801.45,8836.05,8768.7,8828.45,0
2015-02-03 11:15:00,8827.6,8827.6,8729.7,8741.65,0
2015-02-03 12:15:00,8741.4,8758.75,8726.65,8733.6,0
2015-02-03 13:15:00,8734.2,8795.8,8731.45,8770.35,0
2015-02-03 14:15:00,8770.6,8784.15,8752.75,8761.8,0
2015-02-03 15:15:00,8761.25,8761.85,8740.4,8746.65,0
2015-02-04 09:15:00,8789.15,8791.45,8732.55,8740.6,0
2015-02-04 10:15:00,8741.6,8757.55,8716.75,8745.5,0
2015-02-04 11:15:00,8746.0,8764.7,8740.9,8747.85,0
2015-02-04 12:15:00,8747.9,8780.3,8735.2,8771.65,0
2015-02-04 13:15:00,8771.4,8774.25,8750.3,8759.35,0
2015-02-04 14:15:00,8759.4,8773.6,8723.45,8724.35,0
2015-02-04 15:15:00,8724.35,8725.25,8704.7,8713.95,0
2015-02-05 09:15:00,8733.1,8761.6,8705.75,8757.4,0
2015-02-05 10:15:00,8758.0,8767.85,8738.45,8752.95,0
2015-02-05 11:15:00,8753.55,8766.35,8742.05,8751.75,0
2015-02-05 12:15:00,8751.6,8779.0,8748.8,8778.55,0
2015-02-05 13:15:00,8778.2,8838.3,8777.55,8824.15,0
2015-02-05 14:15:00,8822.4,8829.2,8707.8,8708.0,0
2015-02-05 15:15:00,8708.0,8712.7,8683.95,8699.4,0
2015-02-06 09:15:00,8696.85,8725.8,8690.35,8696.0,0
2015-02-06 10:15:00,8696.85,8700.85,8663.1,8686.6,0
2015-02-06 11:15:00,8686.35,8706.0,8671.0,8692.5,0
2015-02-06 12:15:00,8692.4,8716.1,8679.75,8687.0,0
2015-02-06 13:15:00,8687.05,8697.4,8675.8,8688.2,0
2015-02-06 14:15:00,8688.7,8689.1,8646.65,8654.7,0
2015-02-06 15:15:00,8654.75,8669.5,8651.4,8666.0,0
2015-02-09 09:15:00,8584.4,8603.9,8551.95,8562.4,0
2015-02-09 10:15:00,8562.55,8578.9,8548.2,8556.95,0
